city,county_name,lat,lng
Rancho Santa Margarita,Orange,33.6318,-117.5989
North Highlands,Sacramento,38.6713,-121.3721
Florin,Sacramento,38.4832,-121.4042
Covina,Los Angeles,34.0903,-117.8817
El Dorado Hills,El Dorado,38.6750,-121.0490
Morgan Hill,Santa Clara,37.1326,-121.6417
Coachella,Riverside,33.6905,-116.1430
Altadena,Los Angeles,34.1928,-118.1345
Selma,Fresno,36.5715,-119.6143
Danville,Contra Costa,37.8121,-121.9698
Eureka,Humboldt,40.7942,-124.1568
Desert Hot Springs,Riverside,33.9551,-116.5430
Rohnert Park,Sonoma,38.3480,-122.6964
Brea,Orange,33.9254,-117.8656
San Bruno,San Mateo,37.6254,-122.4313
Oakley,Contra Costa,37.9929,-121.6951
Bell Gardens,Los Angeles,33.9663,-118.1550
Campbell,Santa Clara,37.2802,-121.9538
La Quinta,Riverside,33.6536,-116.2785
Rancho Palos Verdes,Los Angeles,33.7554,-118.3637
Los Banos,Merced,37.0630,-120.8406
Montclair,San Bernardino,34.0714,-117.6980
San Gabriel,Los Angeles,34.0948,-118.0990
Calexico,Imperial,32.6849,-115.4944
La Puente,Los Angeles,34.0323,-117.9533
Culver City,Los Angeles,34.0058,-118.3968
Pacifica,San Mateo,37.6112,-122.4781
Martinez,Contra Costa,37.9985,-122.1160
La Presa,San Diego,32.7110,-117.0027
Stanton,Orange,33.8002,-117.9935
Wildomar,Riverside,33.6173,-117.2582
West Hollywood,Los Angeles,34.0882,-118.3718
Moorpark,Ventura,34.2855,-118.8770
Monrovia,Los Angeles,34.1650,-117.9921
Claremont,Los Angeles,34.1259,-117.7153
French Valley,Riverside,33.5998,-117.1069
San Juan Capistrano,Orange,33.5009,-117.6544
Foothill Farms,Sacramento,38.6867,-121.3475
Temple City,Los Angeles,34.1021,-118.0579
Bell,Los Angeles,33.9801,-118.1798
Auburn,Placer,38.8950,-121.0778
Westmont,Los Angeles,33.9417,-118.3018
Manhattan Beach,Los Angeles,33.8895,-118.3972
Pleasant Hill,Contra Costa,37.9540,-122.0759
Orangevale,Sacramento,38.6881,-121.2209
Oildale,Kern,35.4249,-119.0279
Menlo Park,San Mateo,37.4686,-122.1672
Arcata,Humboldt,40.8615,-124.0757
Grass Valley,Nevada,39.2237,-121.0521
Adelanto,San Bernardino,34.5815,-117.4397
Foster City,San Mateo,37.5553,-122.2659
Sonoma,Sonoma,38.2902,-122.4598
Beverly Hills,Los Angeles,34.0786,-118.4021
San Dimas,Los Angeles,34.1082,-117.8090
Dana Point,Orange,33.4733,-117.6968
Ridgecrest,Kern,35.6308,-117.6621
Lawndale,Los Angeles,33.8884,-118.3531
La Verne,Los Angeles,34.1208,-117.7702
Placerville,El Dorado,38.7308,-120.7978
Fallbrook,San Diego,33.3693,-117.2259
Spring Valley,San Diego,32.7316,-116.9766
Banning,Riverside,33.9460,-116.8992
Laguna Hills,Orange,33.5920,-117.6992
Orcutt,Santa Barbara,34.8668,-120.4269
Fair Oaks,Sacramento,38.6504,-121.2497
San Pablo,Contra Costa,37.9628,-122.3425
Goleta,Santa Barbara,34.4360,-119.8596
Burlingame,San Mateo,37.5860,-122.3669
Barstow,San Bernardino,34.8661,-117.0472
Santa Paula,Ventura,34.3521,-119.0698
Los Gatos,Santa Clara,37.2303,-121.9560
South Lake Tahoe,El Dorado,38.9393,-119.9828
San Carlos,San Mateo,37.4982,-122.2680
Saratoga,Santa Clara,37.2684,-122.0263
Los Altos,Santa Clara,37.3685,-122.0966
Atascadero,San Luis Obispo,35.4827,-120.6858
Walnut,Los Angeles,34.0334,-117.8593
Suisun City,Solano,38.2473,-122.0090
Ukiah,Mendocino,39.1463,-123.2105
Atwater,Merced,37.3543,-120.5981
East Palo Alto,San Mateo,37.4671,-122.1352
Wasco,Kern,35.5938,-119.3671
Vineyard,Sacramento,38.4744,-121.3190
Benicia,Solano,38.0725,-122.1525
Monterey,Monterey,36.5922,-121.8807
Sonora,Tuolumne,37.9819,-120.3828
Galt,Sacramento,38.2693,-121.3000
Sanger,Fresno,36.6990,-119.5575
Isla Vista,Santa Barbara,34.4144,-119.8581
Temescal Valley,Riverside,33.7581,-117.4677
